Entity,Code,Year,GDP per capita
United Kingdom,GBR,2000,31946.04
United Kingdom,GBR,2001,32660.44
United Kingdom,GBR,2002,33271.3
United Kingdom,GBR,2003,34232.43
United Kingdom,GBR,2004,34865.78
United Kingdom,GBR,2005,35623.63
United Kingdom,GBR,2006,36214.07
United Kingdom,GBR,2007,36816.68
United Kingdom,GBR,2008,36264.79
United Kingdom,GBR,2009,34402.36
United Kingdom,GBR,2010,34754.47
United Kingdom,GBR,2011,34971
United Kingdom,GBR,2012,35185
United Kingdom,GBR,2013,35618
United Kingdom,GBR,2014,36436
United Kingdom,GBR,2015,36941
United Kingdom,GBR,2016,37334
United Kingdom,GBR,2017,37782.83
United Kingdom,GBR,2018,38058.09
India,IND,2000,2753.09
India,IND,2001,2837.86
India,IND,2002,2870.92
India,IND,2003,3035.92
India,IND,2004,3212.51
India,IND,2005,3396.65
India,IND,2006,3629.41
India,IND,2007,3870.7
India,IND,2008,4030.65
India,IND,2009,4270.71
India,IND,2010,4525.75
India,IND,2011,4768
India,IND,2012,4932
India,IND,2013,5172
India,IND,2014,5458
India,IND,2015,5794
India,IND,2016,6125
India,IND,2017,6449.11
India,IND,2018,6806.5
Sudan,SDN,2000,1951.47
Sudan,SDN,2001,2075.62
Sudan,SDN,2002,2205.57
Sudan,SDN,2003,2373.06
Sudan,SDN,2004,2461.3
Sudan,SDN,2005,2642.52
Sudan,SDN,2006,2903.8
Sudan,SDN,2007,3233.7
Sudan,SDN,2008,3478.89
Sudan,SDN,2009,3580.19
Sudan,SDN,2010,3707.3
Sudan,SDN,2011,3669
Sudan,SDN,2012,3231
Sudan,SDN,2013,3451
Sudan,SDN,2014,3531
Sudan,SDN,2015,3625
Sudan,SDN,2016,3651
Sudan,SDN,2017,3566.15
Sudan,SDN,2018,3379.6
Namibia,NAM,2000,5971.81
Namibia,NAM,2001,5888.43
Namibia,NAM,2002,6069.32
Namibia,NAM,2003,6082.43
Namibia,NAM,2004,6712.77
Namibia,NAM,2005,6807.58
Namibia,NAM,2006,7208.69
Namibia,NAM,2007,7509.53
Namibia,NAM,2008,7618.03
Namibia,NAM,2009,7548.13
Namibia,NAM,2010,7905.54
Namibia,NAM,2011,8203
Namibia,NAM,2012,8483
Namibia,NAM,2013,8793
Namibia,NAM,2014,9170
Namibia,NAM,2015,9462
Namibia,NAM,2016,9376
Namibia,NAM,2017,9188
Namibia,NAM,2018,9043.12
Madagascar,MDG,2000,1238.78
Madagascar,MDG,2001,1290.11
Madagascar,MDG,2002,1110.82
Madagascar,MDG,2003,1198.44
Madagascar,MDG,2004,1239.9
Madagascar,MDG,2005,1276.49
Madagascar,MDG,2006,1322.48
Madagascar,MDG,2007,1384.19
Madagascar,MDG,2008,1458.79
Madagascar,MDG,2009,1367.69
Madagascar,MDG,2010,1349.62
Madagascar,MDG,2011,1347
Madagascar,MDG,2012,1351
Madagascar,MDG,2013,1345
Madagascar,MDG,2014,1354
Madagascar,MDG,2015,1360
Madagascar,MDG,2016,1381
Madagascar,MDG,2017,1399.58
Madagascar,MDG,2018,1427.6
Ethiopia,ETH,2000,771.73
Ethiopia,ETH,2001,783.9
Ethiopia,ETH,2002,793.91
Ethiopia,ETH,2003,764.53
Ethiopia,ETH,2004,771.47
Ethiopia,ETH,2005,829.24
Ethiopia,ETH,2006,880.65
Ethiopia,ETH,2007,936.37
Ethiopia,ETH,2008,989.98
Ethiopia,ETH,2009,1043.53
Ethiopia,ETH,2010,1106.38
Ethiopia,ETH,2011,1199
Ethiopia,ETH,2012,1287
Ethiopia,ETH,2013,1365
Ethiopia,ETH,2014,1459
Ethiopia,ETH,2015,1553
Ethiopia,ETH,2016,1635
Ethiopia,ETH,2017,1753.32
Ethiopia,ETH,2018,1838.49
Chad,TCD,2000,716.04
Chad,TCD,2001,783.06
Chad,TCD,2002,831.83
Chad,TCD,2003,925.51
Chad,TCD,2004,1200.27
Chad,TCD,2005,1266.11
Chad,TCD,2006,1225.52
Chad,TCD,2007,1422.34
Chad,TCD,2008,1422.23
Chad,TCD,2009,1533.18
Chad,TCD,2010,1720.33
Chad,TCD,2011,1661
Chad,TCD,2012,1793
Chad,TCD,2013,1888
Chad,TCD,2014,2279
Chad,TCD,2015,2384
Chad,TCD,2016,2189
Chad,TCD,2017,2066.35
Chad,TCD,2018,2046.36
United States,USA,2000,45886.47
United States,USA,2001,45878.01
United States,USA,2002,46266.3
United States,USA,2003,47158
United States,USA,2004,48492.72
United States,USA,2005,49654.76
United States,USA,2006,50489.86
United States,USA,2007,50901.74
United States,USA,2008,50275.75
United States,USA,2009,48452.93
United States,USA,2010,49266.92
United States,USA,2011,49675
United States,USA,2012,50394
United States,USA,2013,50863
United States,USA,2014,51664
United States,USA,2015,52591
United States,USA,2016,53015
United States,USA,2017,54007.77
United States,USA,2018,55334.74
Japan,JPN,2000,33210.81
Japan,JPN,2001,33246.39
Japan,JPN,2002,33195.4
Japan,JPN,2003,33619.95
Japan,JPN,2004,34313.56
Japan,JPN,2005,34857.76
Japan,JPN,2006,35333.11
Japan,JPN,2007,35892.71
Japan,JPN,2008,35496.23
Japan,JPN,2009,33590.01
Japan,JPN,2010,35011.4
Japan,JPN,2011,34979
Japan,JPN,2012,35580
Japan,JPN,2013,36354
Japan,JPN,2014,36537
Japan,JPN,2015,37031
Japan,JPN,2016,37465
Japan,JPN,2017,38414.86
Japan,JPN,2018,38673.81
Germany,DEU,2000,33367.28
Germany,DEU,2001,34260.29
Germany,DEU,2002,34590.93
Germany,DEU,2003,34716.44
Germany,DEU,2004,35528.71
Germany,DEU,2005,36205.58
Germany,DEU,2006,38014.14
Germany,DEU,2007,39752.21
Germany,DEU,2008,40715.43
Germany,DEU,2009,38962.94
Germany,DEU,2010,41109.58
Germany,DEU,2011,43189
Germany,DEU,2012,43320
Germany,DEU,2013,43413
Germany,DEU,2014,43922
Germany,DEU,2015,44293
Germany,DEU,2016,44689
Germany,DEU,2017,45619.78
Germany,DEU,2018,46177.62
